Ref,Val,Package,PosX,PosY,Rot,Side
"U18","~","soldering_pad",0.900000,-14.000000,0.000000,bottom
"U19","~","soldering_pad",0.900000,-12.300000,0.000000,bottom
"U22","~","soldering_pad",-0.600000,-24.000000,180.000000,bottom
"U24","~","soldering_pad",-0.600000,-25.800000,180.000000,bottom
"U25","~","soldering_pad",-0.600000,-27.600000,180.000000,bottom
